day,month,year,hour,minute,second,id,val
25,5,2022,15,49,19,0,2.300000
25,5,2022,15,49,21,1,3.400000
25,5,2022,15,49,23,0,0.000000
25,5,2022,15,49,25,0,0.000000
25,5,2022,15,49,27,0,0.000000
25,5,2022,15,49,29,0,0.000000
25,5,2022,15,49,31,0,0.000000
25,5,2022,15,49,33,0,0.000000
25,5,2022,15,49,35,0,0.000000
25,5,2022,15,49,37,0,0.000000
25,5,2022,15,49,39,0,0.000000
25,5,2022,15,49,41,0,0.000000
25,5,2022,15,49,43,0,0.000000
25,5,2022,15,49,45,0,0.000000
25,5,2022,15,49,47,0,0.000000
25,5,2022,15,49,49,0,0.000000
25,5,2022,15,49,51,0,0.000000
25,5,2022,15,49,53,0,0.000000
25,5,2022,15,49,55,0,0.000000
25,5,2022,15,49,58,0,0.000000
25,5,2022,15,50,0,0,0.000000
25,5,2022,15,50,2,0,0.000000
25,5,2022,15,50,4,0,0.000000
25,5,2022,15,50,6,0,0.000000
25,5,2022,15,50,8,0,0.000000
25,5,2022,15,50,10,0,0.000000
25,5,2022,15,50,12,0,0.000000
25,5,2022,15,50,14,0,0.000000
25,5,2022,15,50,16,0,0.000000
25,5,2022,15,50,18,0,0.000000
25,5,2022,15,50,20,0,0.000000
25,5,2022,15,50,22,0,0.000000
25,5,2022,15,50,24,0,0.000000
25,5,2022,15,50,26,0,0.000000
25,5,2022,15,50,28,0,0.000000
25,5,2022,15,50,30,0,0.000000
25,5,2022,15,50,32,0,0.000000
25,5,2022,15,50,34,0,0.000000
25,5,2022,15,50,36,0,0.000000
25,5,2022,15,50,38,0,0.000000
25,5,2022,15,50,40,0,0.000000
25,5,2022,15,50,42,0,0.000000
25,5,2022,15,50,44,0,0.000000
25,5,2022,15,50,46,0,0.000000
25,5,2022,15,50,48,0,0.000000
25,5,2022,15,50,50,0,0.000000
25,5,2022,15,50,53,0,0.000000
25,5,2022,15,50,55,0,0.000000
25,5,2022,15,50,57,0,0.000000
25,5,2022,15,50,59,0,0.000000
25,5,2022,15,51,1,0,0.000000
25,5,2022,15,51,3,0,0.000000
25,5,2022,15,51,5,0,0.000000
25,5,2022,15,51,7,0,0.000000
25,5,2022,15,51,9,0,0.000000
25,5,2022,15,51,11,0,0.000000
25,5,2022,15,51,13,0,0.000000
25,5,2022,15,51,15,0,0.000000
25,5,2022,15,51,17,0,0.000000
25,5,2022,15,51,19,0,0.000000
25,5,2022,15,51,21,0,0.000000
25,5,2022,15,51,23,0,0.000000
25,5,2022,15,51,25,0,0.000000
25,5,2022,15,51,27,0,0.000000
25,5,2022,15,51,29,0,0.000000
25,5,2022,15,51,31,0,0.000000
25,5,2022,15,51,33,0,0.000000
25,5,2022,15,51,35,0,0.000000
25,5,2022,15,51,37,0,0.000000
25,5,2022,15,51,39,0,0.000000
25,5,2022,15,51,41,0,0.000000
25,5,2022,15,51,43,0,0.000000
25,5,2022,15,51,45,0,0.000000
25,5,2022,15,51,48,0,0.000000
25,5,2022,15,51,50,0,0.000000
25,5,2022,15,51,52,0,0.000000
25,5,2022,15,51,54,0,0.000000
25,5,2022,15,51,56,0,0.000000
25,5,2022,15,51,58,0,0.000000
25,5,2022,15,52,0,0,0.000000
25,5,2022,15,52,2,0,0.000000
25,5,2022,15,52,4,0,0.000000
25,5,2022,15,52,6,0,0.000000
25,5,2022,15,52,8,0,0.000000
25,5,2022,15,52,10,0,0.000000
25,5,2022,15,52,12,0,0.000000
25,5,2022,15,52,14,0,0.000000
25,5,2022,15,52,16,0,0.000000
25,5,2022,15,52,18,0,0.000000
25,5,2022,15,52,20,0,0.000000
25,5,2022,15,52,22,0,0.000000
25,5,2022,15,52,24,0,0.000000
25,5,2022,15,52,26,0,0.000000
25,5,2022,15,52,28,0,0.000000
25,5,2022,15,52,30,0,0.000000
25,5,2022,15,52,32,0,0.000000
25,5,2022,15,52,34,0,0.000000
25,5,2022,15,52,36,0,0.000000
25,5,2022,15,52,38,0,0.000000
25,5,2022,15,52,40,0,0.000000
25,5,2022,15,52,43,0,0.000000
25,5,2022,15,52,45,0,0.000000
25,5,2022,15,52,47,0,0.000000
25,5,2022,15,52,49,0,0.000000
25,5,2022,15,52,51,0,0.000000
25,5,2022,15,52,53,0,0.000000
25,5,2022,15,52,55,0,0.000000
25,5,2022,15,52,57,0,0.000000
25,5,2022,15,52,59,0,0.000000
25,5,2022,15,53,1,0,0.000000
25,5,2022,15,53,3,0,0.000000
25,5,2022,15,53,5,0,0.000000
25,5,2022,15,53,7,0,0.000000
25,5,2022,15,53,9,0,0.000000
25,5,2022,15,53,11,0,0.000000
25,5,2022,15,53,13,0,0.000000
25,5,2022,15,53,15,0,0.000000
25,5,2022,15,53,17,0,0.000000
25,5,2022,15,53,19,0,0.000000
25,5,2022,15,53,21,0,0.000000
25,5,2022,15,53,23,0,0.000000
25,5,2022,15,53,25,0,0.000000
25,5,2022,15,53,27,0,0.000000
25,5,2022,15,53,29,0,0.000000
25,5,2022,15,53,31,0,0.000000
25,5,2022,15,53,33,0,0.000000
25,5,2022,15,53,35,0,0.000000
25,5,2022,15,53,38,0,0.000000
25,5,2022,15,53,40,0,0.000000
25,5,2022,15,53,42,0,0.000000
25,5,2022,15,53,44,0,0.000000
25,5,2022,15,53,46,0,0.000000
25,5,2022,15,53,48,0,0.000000
25,5,2022,15,53,50,0,0.000000
25,5,2022,15,53,52,0,0.000000
25,5,2022,15,53,54,0,0.000000
25,5,2022,15,53,56,0,0.000000
25,5,2022,15,53,58,0,0.000000
25,5,2022,15,54,0,0,0.000000
25,5,2022,15,54,2,0,0.000000
25,5,2022,15,54,4,0,0.000000
25,5,2022,15,54,6,0,0.000000
25,5,2022,15,54,8,0,0.000000
25,5,2022,15,54,10,0,0.000000
25,5,2022,15,54,12,0,0.000000
25,5,2022,15,54,14,0,0.000000
25,5,2022,15,54,16,0,0.000000
25,5,2022,15,54,18,0,0.000000
25,5,2022,15,54,20,0,0.000000
25,5,2022,15,54,22,0,0.000000
25,5,2022,15,54,24,0,0.000000
